duration_days,cost_usd,max_altitude_m,difficulty_encoded,fitness_encoded,acc_Guesthouse,acc_Lodge,acc_Teahouse,season_Spring & Autumn,trek_name
0.40909090909090906,0.27973333333333333,0.5386221294363258,1.0,1.0,1.0,0.0,0.0,0.0,Annapurna Sanctuary Trek
0.4545454545454546,0.27973333333333333,0.31419624217118997,0.5,0.5,1.0,0.0,0.0,0.0,Rara Lake Trek
0.9090909090909092,0.27973333333333333,0.7501043841336117,1.0,1.0,1.0,0.0,0.0,0.0,Kanchenjunga Circuit Trek
0.6363636363636364,0.27973333333333333,0.92901878914405,1.0,1.0,1.0,0.0,0.0,0.0,Tsum Valley Trek
0.18181818181818182,0.27973333333333333,0.037578288100208745,0.5,0.5,1.0,0.0,0.0,0.0,The Royal Trek
0.7727272727272727,0.27973333333333333,0.6931106471816284,1.0,1.0,1.0,0.0,0.0,0.0,Makalu Base Camp Trek
0.5454545454545454,0.27973333333333333,0.7202505219206681,0.5,0.5,1.0,0.0,0.0,0.0,"Langtang, Gosainkunda And Helambu Trek"
0.6363636363636364,0.27973333333333333,0.807098121085595,1.0,1.0,1.0,0.0,0.0,0.0,Nar Phu Valley Trek
0.40909090909090906,0.27973333333333333,0.807098121085595,1.0,1.0,1.0,0.0,0.0,0.0,Annapurna Circle Trek
0.7272727272727273,0.27973333333333333,0.7870563674321502,1.0,1.0,1.0,0.0,0.0,0.0,Everest Kangshung Face Trek
1.0,0.27973333333333333,0.6075156576200418,1.0,1.0,1.0,0.0,0.0,0.0,Tsum Valley And Manaslu Trek
0.36363636363636365,0.27973333333333333,0.615866388308977,1.0,1.0,1.0,0.0,0.0,0.0,Khopra Ridge Community Trek
0.3181818181818181,0.27973333333333333,0.34655532359081426,0.0,0.0,1.0,0.0,0.0,0.0,Nepal Experience Tour
0.6818181818181819,0.27973333333333333,0.807098121085595,1.0,1.0,1.0,0.0,0.0,0.0,Annapurna Circuit Trek With Tilicho Lake And Poon Hill
0.5454545454545454,0.27973333333333333,0.807098121085595,1.0,1.0,1.0,0.0,0.0,0.0,Annapurna With Tilicho Lake Trek
0.40909090909090906,0.27973333333333333,0.7457202505219207,1.0,1.0,1.0,0.0,0.0,0.0,Langtang Valley Trek With Ganja La Pass
0.9090909090909092,0.27973333333333333,0.807098121085595,1.0,1.0,1.0,0.0,0.0,0.0,Manaslu And Annapurna Trek With Tilicho Lake
0.09090909090909088,0.27973333333333333,0.8340292275574113,0.5,0.5,1.0,0.0,0.0,0.0,Nepal Trekking And Everest Himalaya Heli Tour
0.13636363636363635,0.27973333333333333,0.0,0.5,0.5,1.0,0.0,0.0,0.0,Nepal Hiking And Culture Tour
0.5454545454545454,0.27973333333333333,0.4843423799582464,0.5,0.5,1.0,0.0,0.0,0.0,Annapurna Sunrise And Everest View Trek
0.6818181818181819,0.27973333333333333,0.8340292275574113,1.0,1.0,1.0,0.0,0.0,0.0,Tenzing Hillary Everest Marathon
0.4545454545454546,0.2506666666666667,0.8340292275574113,1.0,1.0,1.0,0.0,0.0,0.0,Everest Kalapathar Trekking
0.6363636363636364,0.28800000000000003,0.8340292275574113,1.0,1.0,1.0,0.0,0.0,0.0,Everest Base Camp Trek Via Gokyo Lake
0.36363636363636365,0.19733333333333336,0.7947807933194155,0.5,0.5,1.0,0.0,0.0,0.0,Gokyo Lake Trek
0.2272727272727273,0.0,0.34655532359081426,0.0,0.0,1.0,0.0,0.0,0.0,Ghorepani Poon Hill Trek
0.2727272727272727,0.06399999999999999,0.6728601252609603,0.5,0.5,1.0,0.0,0.0,0.0,Langtang Valley Trekking
